# BUSCO version is: 5.5.0 
# The lineage dataset is: saccharomycetes_odb10 (Creation date: 2020-08-05, number of genomes: 76, number of BUSCOs: 2137)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
331at4891	Complete	h1tg000003l_path:217272-211966	217272	211966	-	1263.6	1364	https://www.orthodb.org/v10?query=331at4891	BP28, C-terminal domain
364at4891	Complete	h1tg000014l_path:704443-709206	704443	709206	+	1870.1	1257	https://www.orthodb.org/v10?query=364at4891	Pentafunctional AROM polypeptide
365at4891	Complete	h1tg000014l_path:210482-205307	210482	205307	-	2529.2	1451	https://www.orthodb.org/v10?query=365at4891	DNA-directed RNA polymerase subunit
369at4891	Complete	h1tg000004l_path:506189-501602	506189	501602	-	1361.4	922	https://www.orthodb.org/v10?query=369at4891	Phospholipase
394at4891	Complete	h1tg000013l_path:282194-288457	282194	288457	+	1243.5	1103	https://www.orthodb.org/v10?query=394at4891	CCR4-NOT transcription complex subunit 1, HEAT repeat 1
414at4891	Complete	h1tg000008l_path:544564-540279	544564	540279	-	2181.4	1199	https://www.orthodb.org/v10?query=414at4891	DNA-directed RNA polymerase subunit
419at4891	Complete	h1tg000008l_path:617069-613416	617069	613416	-	2184.9	1056	https://www.orthodb.org/v10?query=419at4891	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
425at4891	Complete	h1tg000009l_path:580959-578350	580959	578350	-	1528.3	780	https://www.orthodb.org/v10?query=425at4891	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
431at4891	Complete	h1tg000012l_path:473519-469737	473519	469737	-	1730.0	1007	https://www.orthodb.org/v10?query=431at4891	L-aminoadipate-semialdehyde dehydrogenase
443at4891	Complete	h1tg000003l_path:684413-689005	684413	689005	+	1095.3	814	https://www.orthodb.org/v10?query=443at4891	Vacuolar membrane-associated protein IML1
455at4891	Complete	h1tg000002l_path:720627-724975	720627	724975	+	954.6	974	https://www.orthodb.org/v10?query=455at4891	Transcription elongation factor Spt6
468at4891	Complete	h1tg000005l_path:583245-578746	583245	578746	-	1493.1	1001	https://www.orthodb.org/v10?query=468at4891	P-type ATPase
469at4891	Complete	h1tg000009l_path:95068-90590	95068	90590	-	633.6	930	https://www.orthodb.org/v10?query=469at4891	Rho GTPase activation protein
471at4891	Complete	h1tg000015l_path:482498-476004	482498	476004	-	833.0	1011	https://www.orthodb.org/v10?query=471at4891	Ras guanine nucleotide exchange factor domain superfamily
510at4891	Complete	h1tg000014l_path:1141043-1144705	1141043	1144705	+	1184.4	943	https://www.orthodb.org/v10?query=510at4891	Protein MSN5
514at4891	Complete	h1tg000016l_path:41043-45692	41043	45692	+	1244.0	1157	https://www.orthodb.org/v10?query=514at4891	Proteasome component ECM29
515at4891	Complete	h1tg000015l_path:505046-509395	505046	509395	+	1573.3	976	https://www.orthodb.org/v10?query=515at4891	Chromo domain
519at4891	Complete	h1tg000012l_path:227658-235136	227658	235136	+	1812.1	1714	https://www.orthodb.org/v10?query=519at4891	Armadillo-type fold
528at4891	Fragmented	h1tg000002l_path:616161-612091	616161	612091	-	1216.6	774	https://www.orthodb.org/v10?query=528at4891	PurM-like, C-terminal domain
535at4891	Duplicated	h1tg000012l_path:75537-79760	75537	79760	+	847.2	862	https://www.orthodb.org/v10?query=535at4891	Nucleoporin-domain-containing protein
535at4891	Duplicated	h1tg000015l_path:371843-367926	371843	367926	-	726.9	836	https://www.orthodb.org/v10?query=535at4891	Nucleoporin-domain-containing protein
540at4891	Complete	h1tg000005l_path:67271-62600	67271	62600	-	1035.4	1212	https://www.orthodb.org/v10?query=540at4891	Nucleoporin Nup188
569at4891	Complete	h1tg000009l_path:236642-232560	236642	232560	-	1067.1	810	https://www.orthodb.org/v10?query=569at4891	DNA polymerase
578at4891	Complete	h1tg000014l_path:1063308-1067378	1063308	1067378	+	893.2	974	https://www.orthodb.org/v10?query=578at4891	pre-mRNA 3'-end processing factor CF II
594at4891	Complete	h1tg000008l_path:733238-730504	733238	730504	-	1563.8	793	https://www.orthodb.org/v10?query=594at4891	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
630at4891	Complete	h1tg000014l_path:801525-796153	801525	796153	-	1747.6	1265	https://www.orthodb.org/v10?query=630at4891	Sec7, C-terminal
631at4891	Complete	h1tg000011l_path:99547-95562	99547	95562	-	1681.6	930	https://www.orthodb.org/v10?query=631at4891	P-type ATPase
652at4891	Complete	h1tg000006l_path:310661-314713	310661	314713	+	684.4	771	https://www.orthodb.org/v10?query=652at4891	Anaphase-promoting complex (APC), subunit 1 (meiotic check point regulator/Tsg24)
662at4891	Complete	h1tg000003l_path:47398-41435	47398	41435	-	604.4	983	https://www.orthodb.org/v10?query=662at4891	Armadillo-type fold
665at4891	Complete	h1tg000014l_path:198007-194502	198007	194502	-	1486.5	942	https://www.orthodb.org/v10?query=665at4891	Coatomer subunit alpha
676at4891	Complete	h1tg000015l_path:91142-93975	91142	93975	+	1391.1	781	https://www.orthodb.org/v10?query=676at4891	P-type ATPase
692at4891	Complete	h1tg000005l_path:730927-725767	730927	725767	-	1398.7	1263	https://www.orthodb.org/v10?query=692at4891	nucleic acid-binding protein
693at4891	Duplicated	h1tg000006l_path:683814-680650	683814	680650	-	959.7	755	https://www.orthodb.org/v10?query=693at4891	MAP kinase kinase kinase
693at4891	Duplicated	h1tg000013l_path:248876-245067	248876	245067	-	980.3	857	https://www.orthodb.org/v10?query=693at4891	MAP kinase kinase kinase
695at4891	Complete	h1tg000003l_path:632796-629446	632796	629446	-	1655.7	890	https://www.orthodb.org/v10?query=695at4891	Carbamoyl-phosphate synthase arginine-specific large chain
707at4891	Complete	h1tg000002l_path:687654-682777	687654	682777	-	267.7	307	https://www.orthodb.org/v10?query=707at4891	Separin
721at4891	Complete	h1tg000001l_path:213103-209051	213103	209051	-	1180.4	902	https://www.orthodb.org/v10?query=721at4891	DNA-directed RNA polymerase
722at4891	Complete	h1tg000008l_path:502873-497932	502873	497932	-	954.5	970	https://www.orthodb.org/v10?query=722at4891	Acetyl-CoA synthetase-like protein
730at4891	Complete	h1tg000014l_path:276799-280089	276799	280089	+	1461.9	857	https://www.orthodb.org/v10?query=730at4891	DNA polymerase
746at4891	Complete	h1tg000007l_path:140465-137160	140465	137160	-	1340.7	740	https://www.orthodb.org/v10?query=746at4891	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase
751at4891	Complete	h1tg000012l_path:84278-81063	84278	81063	-	1654.8	922	https://www.orthodb.org/v10?query=751at4891	Aminoacyl-tRNA synthetase, class Ia
811at4891	Complete	h1tg000008l_path:943840-940592	943840	940592	-	1200.7	804	https://www.orthodb.org/v10?query=811at4891	DNA polymerase gamma
845at4891	Complete	h1tg000007l_path:185194-189189	185194	189189	+	1323.4	1023	https://www.orthodb.org/v10?query=845at4891	Elongator complex protein 1
863at4891	Complete	h1tg000017l_path:122681-125719	122681	125719	+	1628.7	851	https://www.orthodb.org/v10?query=863at4891	2-oxoglutarate dehydrogenase E1 component
869at4891	Fragmented	h1tg000009l_path:122885-125314	122885	125314	+	1358.1	679	https://www.orthodb.org/v10?query=869at4891	ABC transporter, conserved site
960at4891	Duplicated	h1tg000006l_path:606262-609393	606262	609393	+	1718.0	912	https://www.orthodb.org/v10?query=960at4891	Elongation factor 3
960at4891	Duplicated	h1tg000007l_path:440342-437211	440342	437211	-	1686.1	912	https://www.orthodb.org/v10?query=960at4891	Elongation factor 3
962at4891	Complete	h1tg000008l_path:949649-946776	949649	946776	-	1421.0	802	https://www.orthodb.org/v10?query=962at4891	Alanine--tRNA ligase
982at4891	Complete	h1tg000005l_path:637296-640049	637296	640049	+	1055.3	663	https://www.orthodb.org/v10?query=982at4891	Glycine cleavage system P protein
986at4891	Complete	h1tg000009l_path:404411-398815	404411	398815	-	1754.9	1261	https://www.orthodb.org/v10?query=986at4891	SNF2-related, N-terminal domain
1006at4891	Complete	h1tg000009l_path:545431-548927	545431	548927	+	1271.8	893	https://www.orthodb.org/v10?query=1006at4891	Niemann-Pick C1, N-terminal
1011at4891	Complete	h1tg000006l_path:457714-461892	457714	461892	+	1590.3	931	https://www.orthodb.org/v10?query=1011at4891	DNA topoisomerase 2
1037at4891	Complete	h1tg000006l_path:429960-433864	429960	433864	+	1157.4	778	https://www.orthodb.org/v10?query=1037at4891	DNA polymerase
1038at4891	Complete	h1tg000008l_path:558903-555237	558903	555237	-	487.4	546	https://www.orthodb.org/v10?query=1038at4891	Ubiquitin specific protease, conserved site
1088at4891	Complete	h1tg000014l_path:1039682-1042861	1039682	1042861	+	1193.5	822	https://www.orthodb.org/v10?query=1088at4891	P-loop containing nucleoside triphosphate hydrolase protein
1099at4891	Complete	h1tg000002l_path:210616-213863	210616	213863	+	1056.3	747	https://www.orthodb.org/v10?query=1099at4891	Alpha-mannosidase
1120at4891	Missing
1180at4891	Complete	h1tg000009l_path:530500-534184	530500	534184	+	1239.1	951	https://www.orthodb.org/v10?query=1180at4891	Uncharacterised domain NUC173
1186at4891	Complete	h1tg000006l_path:375196-378354	375196	378354	+	1634.6	869	https://www.orthodb.org/v10?query=1186at4891	RNA cytidine acetyltransferase
1220at4891	Complete	h1tg000014l_path:1029983-1025025	1029983	1025025	-	1508.8	1203	https://www.orthodb.org/v10?query=1220at4891	Serine/threonine-protein kinase
1221at4891	Complete	h1tg000002l_path:99883-102258	99883	102258	+	976.2	627	https://www.orthodb.org/v10?query=1221at4891	FACT complex subunit SPT16
1226at4891	Complete	h1tg000015l_path:382156-378828	382156	378828	-	1256.0	941	https://www.orthodb.org/v10?query=1226at4891	binding
1228at4891	Complete	h1tg000013l_path:182266-188466	182266	188466	+	875.5	1437	https://www.orthodb.org/v10?query=1228at4891	WD40-repeat-containing domain
1240at4891	Complete	h1tg000014l_path:1349856-1345656	1349856	1345656	-	416.4	608	https://www.orthodb.org/v10?query=1240at4891	Mediator of RNA polymerase II transcription subunit 13
1243at4891	Complete	h1tg000007l_path:390827-394354	390827	394354	+	1123.3	837	https://www.orthodb.org/v10?query=1243at4891	Condensin complex subunit 1
1266at4891	Complete	h1tg000014l_path:73828-70616	73828	70616	-	1113.3	791	https://www.orthodb.org/v10?query=1266at4891	NAD-specific glutamate dehydrogenase
1283at4891	Fragmented	h1tg000014l_path:739963-737036	739963	737036	-	576.2	562	https://www.orthodb.org/v10?query=1283at4891	Protein dopey
1299at4891	Fragmented	h1tg000002l_path:933299-935851	933299	935851	+	1151.8	716	https://www.orthodb.org/v10?query=1299at4891	Exportin-1
1312at4891	Complete	h1tg000003l_path:302815-299126	302815	299126	-	1065.0	1096	https://www.orthodb.org/v10?query=1312at4891	Structural maintenance of chromosomes protein
1341at4891	Complete	h1tg000016l_path:261662-258630	261662	258630	-	750.1	632	https://www.orthodb.org/v10?query=1341at4891	KEN domain
1344at4891	Complete	h1tg000002l_path:334636-331730	334636	331730	-	241.6	398	https://www.orthodb.org/v10?query=1344at4891	PAN2-PAN3 deadenylation complex catalytic subunit PAN2
1372at4891	Complete	h1tg000002l_path:662561-666007	662561	666007	+	1100.8	825	https://www.orthodb.org/v10?query=1372at4891	Nrap protein
1378at4891	Complete	h1tg000008l_path:317382-321622	317382	321622	+	1325.3	835	https://www.orthodb.org/v10?query=1378at4891	Paired amphipathic helix
1391at4891	Complete	h1tg000009l_path:903006-907604	903006	907604	+	1815.1	1149	https://www.orthodb.org/v10?query=1391at4891	Glycogen debranching enzyme
1392at4891	Complete	h1tg000005l_path:874068-877730	874068	877730	+	810.1	642	https://www.orthodb.org/v10?query=1392at4891	Ubiquitin carboxyl-terminal hydrolase 7, ICP0-binding domain
1425at4891	Complete	h1tg000007l_path:215281-211253	215281	211253	-	844.5	664	https://www.orthodb.org/v10?query=1425at4891	Dbl homology (DH) domain
1426at4891	Complete	h1tg000001l_path:58521-55435	58521	55435	-	922.5	638	https://www.orthodb.org/v10?query=1426at4891	Ferredoxin reductase-type FAD-binding domain
1452at4891	Complete	h1tg000005l_path:158186-153269	158186	153269	-	1276.7	859	https://www.orthodb.org/v10?query=1452at4891	Lysophospholipase NTE1
1483at4891	Complete	h1tg000004l_path:269647-266774	269647	266774	-	523.9	581	https://www.orthodb.org/v10?query=1483at4891	Ras GTPase-activating domain
1491at4891	Complete	h1tg000002l_path:672605-675705	672605	675705	+	1656.0	866	https://www.orthodb.org/v10?query=1491at4891	Aminoacyl-tRNA synthetase, class Ia
1495at4891	Complete	h1tg000014l_path:107158-110967	107158	110967	+	717.3	684	https://www.orthodb.org/v10?query=1495at4891	WD40-repeat-containing domain
1497at4891	Complete	h1tg000003l_path:373672-368624	373672	368624	-	918.7	1092	https://www.orthodb.org/v10?query=1497at4891	Nucleoporin Nup186/Nup192/Nup205
1521at4891	Complete	h1tg000008l_path:136179-133072	136179	133072	-	920.0	768	https://www.orthodb.org/v10?query=1521at4891	Peptidase M16, C-terminal
1523at4891	Complete	h1tg000002l_path:486168-489594	486168	489594	+	1156.0	766	https://www.orthodb.org/v10?query=1523at4891	Calcium-transporting ATPase
1529at4891	Complete	h1tg000017l_path:261503-264952	261503	264952	+	1451.8	823	https://www.orthodb.org/v10?query=1529at4891	P-type ATPase
1547at4891	Complete	h1tg000012l_path:686787-690140	686787	690140	+	1093.9	737	https://www.orthodb.org/v10?query=1547at4891	Vacuolar cation-chloride cotransporter 1
1597at4891	Complete	h1tg000013l_path:139280-136184	139280	136184	-	1118.5	706	https://www.orthodb.org/v10?query=1597at4891	putative ATP-dependent permease
1609at4891	Complete	h1tg000006l_path:76570-71668	76570	71668	-	785.7	1000	https://www.orthodb.org/v10?query=1609at4891	Mon2, C-terminal
1625at4891	Complete	h1tg000014l_path:1135814-1140348	1135814	1140348	+	1221.7	819	https://www.orthodb.org/v10?query=1625at4891	SNF2-related, N-terminal domain
1627at4891	Complete	h1tg000009l_path:246965-250231	246965	250231	+	1380.6	830	https://www.orthodb.org/v10?query=1627at4891	leucyl-tRNA synthetase
1633at4891	Complete	h1tg000014l_path:593892-596396	593892	596396	+	838.6	560	https://www.orthodb.org/v10?query=1633at4891	Trehalose-phosphatase
1642at4891	Complete	h1tg000004l_path:593130-596576	593130	596576	+	268.6	556	https://www.orthodb.org/v10?query=1642at4891	Nucleoporin, Nup133/Nup155-like, C-terminal
1653at4891	Complete	h1tg000002l_path:250274-252671	250274	252671	+	979.9	626	https://www.orthodb.org/v10?query=1653at4891	Coatomer subunit beta'
1655at4891	Complete	h1tg000007l_path:251575-254146	251575	254146	+	993.7	715	https://www.orthodb.org/v10?query=1655at4891	binding
1667at4891	Fragmented	h1tg000014l_path:1327685-1325407	1327685	1325407	-	560.0	542	https://www.orthodb.org/v10?query=1667at4891	Peptidase M16, C-terminal
1679at4891	Missing
1699at4891	Complete	h1tg000002l_path:190671-187805	190671	187805	-	1192.5	683	https://www.orthodb.org/v10?query=1699at4891	Calcium-transporting ATPase
1708at4891	Complete	h1tg000007l_path:997835-1000735	997835	1000735	+	823.7	674	https://www.orthodb.org/v10?query=1708at4891	GPI ethanolamine phosphate transferase 3
1760at4891	Complete	h1tg000007l_path:386474-384152	386474	384152	-	1004.4	598	https://www.orthodb.org/v10?query=1760at4891	DNA helicase
1774at4891	Complete	h1tg000002l_path:121101-118054	121101	118054	-	1198.2	669	https://www.orthodb.org/v10?query=1774at4891	DNA helicase
1803at4891	Complete	h1tg000002l_path:49758-52623	49758	52623	+	1054.6	760	https://www.orthodb.org/v10?query=1803at4891	Importin alpha re-exporter
1807at4891	Complete	h1tg000001l_path:121792-119315	121792	119315	-	609.3	608	https://www.orthodb.org/v10?query=1807at4891	Nuclear pore protein
1841at4891	Complete	h1tg000007l_path:798877-801876	798877	801876	+	333.0	523	https://www.orthodb.org/v10?query=1841at4891	Mediator of RNA polymerase II transcription subunit 14
1860at4891	Fragmented	h1tg000017l_path:83037-81302	83037	81302	-	811.9	407	https://www.orthodb.org/v10?query=1860at4891	Helicase, C-terminal
1865at4891	Complete	h1tg000003l_path:683131-678816	683131	678816	-	1559.3	923	https://www.orthodb.org/v10?query=1865at4891	Nitrite/Sulfite reductase ferredoxin-like domain
1875at4891	Complete	h1tg000005l_path:419792-415982	419792	415982	-	670.7	746	https://www.orthodb.org/v10?query=1875at4891	Armadillo-type fold
1906at4891	Complete	h1tg000002l_path:1043151-1040002	1043151	1040002	-	744.9	696	https://www.orthodb.org/v10?query=1906at4891	Transcription initiation factor TFIID subunit 1
1923at4891	Complete	h1tg000015l_path:526740-528988	526740	528988	+	1244.5	645	https://www.orthodb.org/v10?query=1923at4891	ATP-dependent helicase, C-terminal
1936at4891	Complete	h1tg000012l_path:311899-314772	311899	314772	+	1034.2	584	https://www.orthodb.org/v10?query=1936at4891	Chitin synthase
1947at4891	Fragmented	h1tg000004l_path:40556-42259	40556	42259	+	921.3	533	https://www.orthodb.org/v10?query=1947at4891	Ubiquitin-activating enzyme E1
1970at4891	Fragmented	h1tg000005l_path:518224-520245	518224	520245	+	333.4	322	https://www.orthodb.org/v10?query=1970at4891	MIF4G-like, type 1
1979at4891	Complete	h1tg000003l_path:247218-251645	247218	251645	+	602.3	431	https://www.orthodb.org/v10?query=1979at4891	Protein kinase domain
2008at4891	Complete	h1tg000011l_path:151060-147503	151060	147503	-	451.8	670	https://www.orthodb.org/v10?query=2008at4891	RNA polymerase III type 2 promoter sequence-specific DNA binding
2010at4891	Complete	h1tg000012l_path:177543-174943	177543	174943	-	1214.1	652	https://www.orthodb.org/v10?query=2010at4891	DNA helicase
2020at4891	Complete	h1tg000003l_path:343130-345610	343130	345610	+	1236.6	714	https://www.orthodb.org/v10?query=2020at4891	ATP-dependent RNA helicase DOB1
2040at4891	Complete	h1tg000014l_path:1287851-1283985	1287851	1283985	-	521.9	726	https://www.orthodb.org/v10?query=2040at4891	TRAPP II complex, Trs120
2048at4891	Complete	h1tg000005l_path:891277-888011	891277	888011	-	1138.9	879	https://www.orthodb.org/v10?query=2048at4891	Importin subunit beta-3
2052at4891	Complete	h1tg000003l_path:496297-493169	496297	493169	-	932.8	795	https://www.orthodb.org/v10?query=2052at4891	WD40/YVTN repeat-like-containing domain superfamily
2053at4891	Complete	h1tg000003l_path:58793-56427	58793	56427	-	1178.3	633	https://www.orthodb.org/v10?query=2053at4891	Aconitate hydratase, mitochondrial
2138at4891	Complete	h1tg000012l_path:216394-212663	216394	212663	-	581.0	496	https://www.orthodb.org/v10?query=2138at4891	Sla1
2161at4891	Complete	h1tg000005l_path:844680-847547	844680	847547	+	1038.5	694	https://www.orthodb.org/v10?query=2161at4891	Splicing factor 3B subunit 1
2166at4891	Complete	h1tg000015l_path:342225-339936	342225	339936	-	1286.8	678	https://www.orthodb.org/v10?query=2166at4891	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase
2167at4891	Missing
2171at4891	Complete	h1tg000014l_path:22879-25857	22879	25857	+	711.9	615	https://www.orthodb.org/v10?query=2171at4891	Rho GTPase activation protein
2180at4891	Complete	h1tg000014l_path:940749-937849	940749	937849	-	1183.7	750	https://www.orthodb.org/v10?query=2180at4891	Coatomer subunit beta
2193at4891	Complete	h1tg000007l_path:989414-986703	989414	986703	-	1323.3	760	https://www.orthodb.org/v10?query=2193at4891	P-loop containing nucleoside triphosphate hydrolase protein
2203at4891	Complete	h1tg000008l_path:649724-652138	649724	652138	+	1067.5	635	https://www.orthodb.org/v10?query=2203at4891	Glutaminyl-tRNA synthetase
2212at4891	Fragmented	h1tg000012l_path:400117-398645	400117	398645	-	711.4	397	https://www.orthodb.org/v10?query=2212at4891	ATPase, AAA-type, conserved site
2307at4891	Complete	h1tg000007l_path:340606-342802	340606	342802	+	1340.1	659	https://www.orthodb.org/v10?query=2307at4891	Aconitate hydratase, mitochondrial
2368at4891	Complete	h1tg000007l_path:140845-143607	140845	143607	+	1002.8	720	https://www.orthodb.org/v10?query=2368at4891	WD40 repeat
2373at4891	Complete	h1tg000005l_path:270942-268831	270942	268831	-	664.4	431	https://www.orthodb.org/v10?query=2373at4891	Serine/threonine-protein kinase
2385at4891	Complete	h1tg000012l_path:181001-177894	181001	177894	-	880.4	670	https://www.orthodb.org/v10?query=2385at4891	Lon protease homolog, mitochondrial
2413at4891	Complete	h1tg000012l_path:383239-385995	383239	385995	+	530.0	406	https://www.orthodb.org/v10?query=2413at4891	SNF2-related, N-terminal domain
2421at4891	Complete	h1tg000003l_path:64073-67322	64073	67322	+	812.8	716	https://www.orthodb.org/v10?query=2421at4891	Ubiquitin carboxyl-terminal hydrolase 12
2432at4891	Complete	h1tg000009l_path:598070-600304	598070	600304	+	1142.6	620	https://www.orthodb.org/v10?query=2432at4891	DNA helicase
2446at4891	Complete	h1tg000006l_path:191282-196043	191282	196043	+	644.2	697	https://www.orthodb.org/v10?query=2446at4891	Autophagy-related protein 2
2456at4891	Complete	h1tg000011l_path:114851-118186	114851	118186	+	820.8	524	https://www.orthodb.org/v10?query=2456at4891	SNF2-related, N-terminal domain
2459at4891	Complete	h1tg000011l_path:143794-147398	143794	147398	+	574.1	888	https://www.orthodb.org/v10?query=2459at4891	WD40/YVTN repeat-like-containing domain superfamily
2471at4891	Complete	h1tg000006l_path:394644-397529	394644	397529	+	1226.3	779	https://www.orthodb.org/v10?query=2471at4891	Pro-apoptotic serine protease NMA111
2483at4891	Complete	h1tg000013l_path:68355-65962	68355	65962	-	996.3	634	https://www.orthodb.org/v10?query=2483at4891	Histidine biosynthesis trifunctional protein
2485at4891	Complete	h1tg000002l_path:196606-193913	196606	193913	-	1047.1	587	https://www.orthodb.org/v10?query=2485at4891	Putative SWI/SNF family member, DNA-dependent ATPase
2499at4891	Complete	h1tg000006l_path:48087-45376	48087	45376	-	1028.6	708	https://www.orthodb.org/v10?query=2499at4891	Tetratricopeptide repeat
2515at4891	Complete	h1tg000012l_path:273711-270966	273711	270966	-	714.8	630	https://www.orthodb.org/v10?query=2515at4891	binding
2531at4891	Complete	h1tg000005l_path:370192-367859	370192	367859	-	921.0	503	https://www.orthodb.org/v10?query=2531at4891	WD40-repeat-containing domain
2534at4891	Complete	h1tg000002l_path:1027454-1031584	1027454	1031584	+	960.8	604	https://www.orthodb.org/v10?query=2534at4891	ATPase, AAA-type, conserved site
2539at4891	Complete	h1tg000005l_path:894481-892046	894481	892046	-	565.9	554	https://www.orthodb.org/v10?query=2539at4891	Eukaryotic translation initiation factor 3 subunit C
2543at4891	Complete	h1tg000006l_path:206892-209807	206892	209807	+	376.1	554	https://www.orthodb.org/v10?query=2543at4891	Mediator of RNA polymerase II transcription subunit 16
2548at4891	Complete	h1tg000013l_path:207778-203653	207778	203653	-	816.6	790	https://www.orthodb.org/v10?query=2548at4891	Transcription initiation factor TFIID subunit 2
2549at4891	Complete	h1tg000016l_path:480683-476586	480683	476586	-	1332.8	878	https://www.orthodb.org/v10?query=2549at4891	WD40 repeat
2564at4891	Complete	h1tg000009l_path:507360-510707	507360	510707	+	792.6	680	https://www.orthodb.org/v10?query=2564at4891	RuvA domain 2-like
2565at4891	Complete	h1tg000012l_path:403981-401297	403981	401297	-	644.7	519	https://www.orthodb.org/v10?query=2565at4891	Bromodomain
2568at4891	Complete	h1tg000014l_path:709508-712629	709508	712629	+	824.0	667	https://www.orthodb.org/v10?query=2568at4891	WD40-repeat-containing domain
2611at4891	Complete	h1tg000002l_path:973775-970833	973775	970833	-	1328.0	736	https://www.orthodb.org/v10?query=2611at4891	ATP-dependent 6-phosphofructokinase
2618at4891	Duplicated	h1tg000004l_path:200223-196408	200223	196408	-	1507.9	854	https://www.orthodb.org/v10?query=2618at4891	Myosin-1
2618at4891	Duplicated	h1tg000005l_path:486389-490069	486389	490069	+	1550.3	857	https://www.orthodb.org/v10?query=2618at4891	Myosin-1
2630at4891	Complete	h1tg000012l_path:436936-441291	436936	441291	+	891.4	910	https://www.orthodb.org/v10?query=2630at4891	WD40-repeat-containing domain
2640at4891	Complete	h1tg000012l_path:467234-469603	467234	469603	+	1007.2	537	https://www.orthodb.org/v10?query=2640at4891	Zinc finger, RING-type
2706at4891	Complete	h1tg000007l_path:184415-182023	184415	182023	-	647.5	520	https://www.orthodb.org/v10?query=2706at4891	Vacuole morphology and inheritance protein 14
2716at4891	Complete	h1tg000007l_path:378535-380871	378535	380871	+	880.3	536	https://www.orthodb.org/v10?query=2716at4891	Pre-mRNA 3'-end-processing endonuclease polyadenylation factor C-term
2724at4891	Fragmented	h1tg000017l_path:213251-214639	213251	214639	+	890.5	427	https://www.orthodb.org/v10?query=2724at4891	Threonyl-tRNA synthetase
